,Offset,TV,radio,newspaper,sales
60,1,210.7,29.5,9.3,18.4
61,1,53.5,2,21.4,8.1
62,1,261.3,42.7,54.7,24.2
63,1,239.3,15.5,27.3,15.7
64,1,102.7,29.6,8.4,14
65,1,131.1,42.8,28.9,18
66,1,69,9.3,0.9,9.3
67,1,31.5,24.6,2.2,9.5
68,1,139.3,14.5,10.2,13.4
69,1,237.4,27.5,11,18.9
70,1,216.8,43.9,27.2,22.3
71,1,199.1,30.6,38.7,18.3
72,1,109.8,14.3,31.7,12.4
73,1,26.8,33,19.3,8.8
74,1,129.4,5.7,31.3,11
75,1,213.4,24.6,13.1,17
76,1,16.9,43.7,89.4,8.7
77,1,27.5,1.6,20.7,6.9
78,1,120.5,28.5,14.2,14.2
79,1,5.4,29.9,9.4,5.3
80,1,116,7.7,23.1,11
81,1,76.4,26.7,22.3,11.8
82,1,239.8,4.1,36.9,12.3
83,1,75.3,20.3,32.5,11.3
84,1,68.4,44.5,35.6,13.6
85,1,213.5,43,33.8,21.7
86,1,193.2,18.4,65.7,15.2
87,1,76.3,27.5,16,12
88,1,110.7,40.6,63.2,16
89,1,88.3,25.5,73.4,12.9
90,1,109.8,47.8,51.4,16.7
91,1,134.3,4.9,9.3,11.2
92,1,28.6,1.5,33,7.3
93,1,217.7,33.5,59,19.4
94,1,250.9,36.5,72.3,22.2
95,1,107.4,14,10.9,11.5
96,1,163.3,31.6,52.9,16.9
97,1,197.6,3.5,5.9,11.7
98,1,184.9,21,22,15.5
99,1,289.7,42.3,51.2,25.4
100,1,135.2,41.7,45.9,17.2
101,1,222.4,4.3,49.8,11.7
102,1,296.4,36.3,100.9,23.8
103,1,280.2,10.1,21.4,14.8
104,1,187.9,17.2,17.9,14.7
105,1,238.2,34.3,5.3,20.7
106,1,137.9,46.4,59,19.2
107,1,25,11,29.7,7.2
108,1,90.4,0.3,23.2,8.7
109,1,13.1,0.4,25.6,5.3
110,1,255.4,26.9,5.5,19.8
111,1,225.8,8.2,56.5,13.4
112,1,241.7,38,23.2,21.8
113,1,175.7,15.4,2.4,14.1
114,1,209.6,20.6,10.7,15.9
115,1,78.2,46.8,34.5,14.6
116,1,75.1,35,52.7,12.6
117,1,139.2,14.3,25.6,12.2
118,1,76.4,0.8,14.8,9.4
119,1,125.7,36.9,79.2,15.9
120,1,19.4,16,22.3,6.6
121,1,141.3,26.8,46.2,15.5
122,1,18.8,21.7,50.4,7
123,1,224,2.4,15.6,11.6
124,1,123.1,34.6,12.4,15.2
125,1,229.5,32.3,74.2,19.7
126,1,87.2,11.8,25.9,10.6
127,1,7.8,38.9,50.6,6.6
128,1,80.2,0,9.2,8.8
129,1,220.3,49,3.2,24.7
130,1,59.6,12,43.1,9.7
131,1,0.7,39.6,8.7,1.6
132,1,265.2,2.9,43,12.7
133,1,8.4,27.2,2.1,5.7
134,1,219.8,33.5,45.1,19.6
135,1,36.9,38.6,65.6,10.8
136,1,48.3,47,8.5,11.6
137,1,25.6,39,9.3,9.5
138,1,273.7,28.9,59.7,20.8
139,1,43,25.9,20.5,9.6
140,1,184.9,43.9,1.7,20.7
141,1,73.4,17,12.9,10.9
142,1,193.7,35.4,75.6,19.2
143,1,220.5,33.2,37.9,20.1
144,1,104.6,5.7,34.4,10.4
145,1,96.2,14.8,38.9,11.4
146,1,140.3,1.9,9,10.3
147,1,240.1,7.3,8.7,13.2
148,1,243.2,49,44.3,25.4
149,1,38,40.3,11.9,10.9
150,1,44.7,25.8,20.6,10.1
151,1,280.7,13.9,37,16.1
152,1,121,8.4,48.7,11.6
153,1,197.6,23.3,14.2,16.6
154,1,171.3,39.7,37.7,19
155,1,187.8,21.1,9.5,15.6
156,1,4.1,11.6,5.7,3.2
157,1,93.9,43.5,50.5,15.3
158,1,149.8,1.3,24.3,10.1
159,1,11.7,36.9,45.2,7.3
160,1,131.7,18.4,34.6,12.9
161,1,172.5,18.1,30.7,14.4
162,1,85.7,35.8,49.3,13.3
163,1,188.4,18.1,25.6,14.9
164,1,163.5,36.8,7.4,18
165,1,117.2,14.7,5.4,11.9
166,1,234.5,3.4,84.8,11.9
167,1,17.9,37.6,21.6,8
168,1,206.8,5.2,19.4,12.2
169,1,215.4,23.6,57.6,17.1
170,1,284.3,10.6,6.4,15
171,1,50,11.6,18.4,8.4
172,1,164.5,20.9,47.4,14.5
173,1,19.6,20.1,17,7.6
174,1,168.4,7.1,12.8,11.7
175,1,222.4,3.4,13.1,11.5
176,1,276.9,48.9,41.8,27
177,1,248.4,30.2,20.3,20.2
178,1,170.2,7.8,35.2,11.7
179,1,276.7,2.3,23.7,11.8
180,1,165.6,10,17.6,12.6
181,1,156.6,2.6,8.3,10.5
182,1,218.5,5.4,27.4,12.2
183,1,56.2,5.7,29.7,8.7
184,1,287.6,43,71.8,26.2
185,1,253.8,21.3,30,17.6
186,1,205,45.1,19.6,22.6
187,1,139.5,2.1,26.6,10.3
188,1,191.1,28.7,18.2,17.3
189,1,286,13.9,3.7,15.9
190,1,18.7,12.1,23.4,6.7
191,1,39.5,41.1,5.8,10.8
192,1,75.5,10.8,6,9.9
193,1,17.2,4.1,31.6,5.9
194,1,166.8,42,3.6,19.6
195,1,149.7,35.6,6,17.3
196,1,38.2,3.7,13.8,7.6
197,1,94.2,4.9,8.1,9.7
198,1,177,9.3,6.4,12.8
199,1,283.6,42,66.2,25.5
200,1,232.1,8.6,8.7,13.4
